,property_id,check_in_date,room_category,successful_bookings,capacity,occ_pct,room_class,property_name,category,city,date,mmm yy,week no,day_type,occ%
0,19563,10-May-22,RT3,15,29.0,51.72,Premium,Atliq Palace,Business,Bangalore,10-May-22,May 22,W 20,weekeday,
1,18560,10-May-22,RT1,19,30.0,63.33,Standard,Atliq City,Business,Hyderabad,10-May-22,May 22,W 20,weekeday,
2,19562,10-May-22,RT1,18,30.0,60.0,Standard,Atliq Bay,Luxury,Bangalore,10-May-22,May 22,W 20,weekeday,
3,19563,10-May-22,RT1,16,30.0,53.33,Standard,Atliq Palace,Business,Bangalore,10-May-22,May 22,W 20,weekeday,
4,17558,10-May-22,RT1,11,19.0,57.89,Standard,Atliq Grands,Luxury,Mumbai,10-May-22,May 22,W 20,weekeday,
5,16558,10-May-22,RT1,10,19.0,52.63,Standard,Atliq Grands,Luxury,Delhi,10-May-22,May 22,W 20,weekeday,
6,17560,10-May-22,RT1,19,40.0,47.5,Standard,Atliq City,Business,Mumbai,10-May-22,May 22,W 20,weekeday,
7,19558,10-May-22,RT1,18,40.0,45.0,Standard,Atliq Grands,Luxury,Bangalore,10-May-22,May 22,W 20,weekeday,
8,19560,10-May-22,RT1,17,26.0,65.38,Standard,Atliq City,Business,Bangalore,10-May-22,May 22,W 20,weekeday,
9,17561,10-May-22,RT1,14,26.0,53.85,Standard,Atliq Blu,Luxury,Mumbai,10-May-22,May 22,W 20,weekeday,
10,16560,10-May-22,RT1,16,34.0,47.06,Standard,Atliq City,Business,Delhi,10-May-22,May 22,W 20,weekeday,
11,16561,10-May-22,RT1,11,18.0,61.11,Standard,Atliq Blu,Luxury,Delhi,10-May-22,May 22,W 20,weekeday,
12,16562,10-May-22,RT1,14,31.0,45.16,Standard,Atliq Bay,Luxury,Delhi,10-May-22,May 22,W 20,weekeday,
13,16563,10-May-22,RT1,26,41.0,63.41,Standard,Atliq Palace,Business,Delhi,10-May-22,May 22,W 20,weekeday,
14,17559,10-May-22,RT1,20,32.0,62.5,Standard,Atliq Exotica,Luxury,Mumbai,10-May-22,May 22,W 20,weekeday,
15,17562,10-May-22,RT1,9,20.0,45.0,Standard,Atliq Bay,Luxury,Mumbai,10-May-22,May 22,W 20,weekeday,
16,17563,10-May-22,RT1,14,25.0,56.0,Standard,Atliq Palace,Business,Mumbai,10-May-22,May 22,W 20,weekeday,
17,18558,10-May-22,RT1,8,15.0,53.33,Standard,Atliq Grands,Luxury,Hyderabad,10-May-22,May 22,W 20,weekeday,
18,18559,10-May-22,RT1,19,42.0,45.24,Standard,Atliq Exotica,Luxury,Hyderabad,10-May-22,May 22,W 20,weekeday,
19,18561,10-May-22,RT1,21,33.0,63.64,Standard,Atliq Blu,Luxury,Hyderabad,10-May-22,May 22,W 20,weekeday,
20,18562,10-May-22,RT1,23,38.0,60.53,Standard,Atliq Bay,Luxury,Hyderabad,10-May-22,May 22,W 20,weekeday,
21,18563,10-May-22,RT1,15,27.0,55.56,Standard,Atliq Palace,Business,Hyderabad,10-May-22,May 22,W 20,weekeday,
22,19559,10-May-22,RT1,14,24.0,58.33,Standard,Atliq Exotica,Luxury,Bangalore,10-May-22,May 22,W 20,weekeday,
23,19561,10-May-22,RT1,18,36.0,50.0,Standard,Atliq Blu,Luxury,Bangalore,10-May-22,May 22,W 20,weekeday,
24,17564,10-May-22,RT1,6,16.0,37.5,Standard,Atliq Seasons,Business,Mumbai,10-May-22,May 22,W 20,weekeday,
25,19562,10-May-22,RT2,15,23.0,65.22,Elite,Atliq Bay,Luxury,Bangalore,10-May-22,May 22,W 20,weekeday,
26,18563,10-May-22,RT2,15,29.0,51.72,Elite,Atliq Palace,Business,Hyderabad,10-May-22,May 22,W 20,weekeday,
